"","X1","truncHour","bin","NumObs","Species"
"145",145,14,"SQUIRRELRED",2,"Red Squirrel"
"146",146,15,"CHIPMUNK",16,"Chipmunk"
"147",147,15,"COYOTE",2,"Coyote"
"148",148,15,"DEERWHITETAILED",77,"White-tailed Deer"
"149",149,15,"FISHER",1,"Fisher"
"150",150,15,"FOXRED",1,"Red Fox"
"151",151,15,"PORCUPINE",1,"Porcupine"
"152",152,15,"RACCOON",2,"Raccoon"
"153",153,15,"SQUIRRELGRAY",38,"Gray Squirrel"
"154",154,15,"SQUIRRELRED",2,"Red Squirrel"
"155",155,16,"CHIPMUNK",11,"Chipmunk"
"156",156,16,"COTTONTAILRABBIT",2,"Cottontail Rabbit"
"157",157,16,"DEERWHITETAILED",92,"White-tailed Deer"
"158",158,16,"RACCOON",3,"Raccoon"
"159",159,16,"SQUIRRELGRAY",27,"Gray Squirrel"
"160",160,16,"SQUIRRELRED",2,"Red Squirrel"
"161",161,17,"BLACKBEAR",2,"Black Bear"
"162",162,17,"CHIPMUNK",11,"Chipmunk"
"163",163,17,"COTTONTAILRABBIT",1,"Cottontail Rabbit"
"164",164,17,"COYOTE",3,"Coyote"
"165",165,17,"DEERWHITETAILED",66,"White-tailed Deer"
"166",166,17,"FISHER",3,"Fisher"
"167",167,17,"FOXRED",1,"Red Fox"
"168",168,17,"PORCUPINE",6,"Porcupine"
"169",169,17,"RACCOON",3,"Raccoon"
"170",170,17,"SQUIRRELGRAY",16,"Gray Squirrel"
"171",171,17,"SQUIRRELRED",2,"Red Squirrel"
"172",172,18,"BLACKBEAR",5,"Black Bear"
"173",173,18,"CHIPMUNK",4,"Chipmunk"
"174",174,18,"COYOTE",10,"Coyote"
"175",175,18,"DEERWHITETAILED",69,"White-tailed Deer"
"176",176,18,"FISHER",3,"Fisher"
"177",177,18,"FOXRED",2,"Red Fox"
"178",178,18,"PORCUPINE",12,"Porcupine"
"179",179,18,"RACCOON",5,"Raccoon"
"180",180,18,"SQUIRRELGRAY",7,"Gray Squirrel"
"181",181,19,"BLACKBEAR",3,"Black Bear"
"182",182,19,"CHIPMUNK",3,"Chipmunk"
"183",183,19,"COTTONTAILRABBIT",1,"Cottontail Rabbit"
"184",184,19,"COYOTE",5,"Coyote"
"185",185,19,"DEERWHITETAILED",59,"White-tailed Deer"
"186",186,19,"FISHER",1,"Fisher"
"187",187,19,"FOXRED",1,"Red Fox"
"188",188,19,"PORCUPINE",6,"Porcupine"
"189",189,19,"RACCOON",10,"Raccoon"
"190",190,19,"SQUIRRELFLYING",1,"Flying Squirrel"
"191",191,20,"BOBCAT",1,"Bobcat"
"192",192,20,"COYOTE",4,"Coyote"
"193",193,20,"DEERWHITETAILED",49,"White-tailed Deer"
"194",194,20,"FISHER",4,"Fisher"
"195",195,20,"FOXRED",2,"Red Fox"
"196",196,20,"PORCUPINE",9,"Porcupine"
"197",197,20,"RACCOON",12,"Raccoon"
"198",198,20,"SQUIRRELFLYING",1,"Flying Squirrel"
"199",199,20,"SQUIRRELGRAY",1,"Gray Squirrel"
"200",200,21,"COYOTE",3,"Coyote"
"201",201,21,"DEERWHITETAILED",52,"White-tailed Deer"
"202",202,21,"FOXRED",4,"Red Fox"
"203",203,21,"OPOSSUM",2,"Opossum "
"204",204,21,"OTHERSMALLMAMMAL",4,"Other Small Mammal"
"205",205,21,"PORCUPINE",6,"Porcupine"
"206",206,21,"RACCOON",10,"Raccoon"
"207",207,21,"SKUNKSTRIPED",1,"Striped Skunk"
"208",208,21,"SNOWSHOEHARE",2,"Snowshoe Hare"
"209",209,21,"SQUIRRELRED",2,"Red Squirrel"
"210",210,22,"COTTONTAILRABBIT",1,"Cottontail Rabbit"
"211",211,22,"COYOTE",3,"Coyote"
"212",212,22,"DEERWHITETAILED",41,"White-tailed Deer"
"213",213,22,"FISHER",2,"Fisher"
"214",214,22,"FOXRED",1,"Red Fox"
"215",215,22,"OTHERSMALLMAMMAL",4,"Other Small Mammal"
"216",216,22,"PORCUPINE",12,"Porcupine"
"217",217,22,"RACCOON",12,"Raccoon"
"218",218,22,"SKUNKSTRIPED",1,"Striped Skunk"
"219",219,22,"SQUIRRELFLYING",2,"Flying Squirrel"
"220",220,22,"SQUIRRELRED",1,"Red Squirrel"
"221",221,22,"WEASEL",1,"Weasel"
"222",222,23,"BLACKBEAR",1,"Black Bear"
"223",223,23,"CHIPMUNK",1,"Chipmunk"
"224",224,23,"COYOTE",6,"Coyote"
"225",225,23,"DEERWHITETAILED",55,"White-tailed Deer"
"226",226,23,"FISHER",3,"Fisher"
"227",227,23,"FOXRED",1,"Red Fox"
"228",228,23,"OPOSSUM",1,"Opossum "
"229",229,23,"OTHERSMALLMAMMAL",8,"Other Small Mammal"
"230",230,23,"PORCUPINE",7,"Porcupine"
"231",231,23,"RACCOON",7,"Raccoon"
"232",232,23,"SKUNKSTRIPED",1,"Striped Skunk"
"233",233,NA,"DEERWHITETAILED",1,"White-tailed Deer"
"234",234,NA,"FOXRED",1,"Red Fox"
